datetime,user_id,order_amount,period,strata,group
2025-07-01 02:46:03,user_5759,3512.88,experiment,0%,control
2025-07-01 02:46:10,user_4398,6722.22,experiment,7%,test
2025-07-01 02:46:21,user_3360,2321.68,experiment,3%,test
2025-07-01 02:47:06,user_4957,3185.01,experiment,3%,test
2025-07-01 02:52:37,user_1365,5154.14,experiment,7%,control
2025-07-01 02:58:31,user_3170,2111.68,experiment,3%,test
2025-07-01 02:59:18,user_195,2648.63,experiment,7%,control
2025-07-01 03:00:14,user_5287,9327.42,experiment,5%,control
2025-07-01 03:01:36,user_1905,3810.04,experiment,0%,control
2025-07-01 03:07:40,user_1504,2589.15,experiment,5%,control
2025-07-01 03:09:07,user_1871,2099.07,experiment,5%,control
2025-07-01 03:13:20,user_3125,5432.64,experiment,7%,test
2025-07-01 03:17:10,user_4629,2513.5,experiment,5%,test
2025-07-01 03:21:36,user_1391,2292.88,experiment,7%,test
2025-07-01 03:23:05,user_1613,6554.95,experiment,0%,control
2025-07-01 03:23:41,user_5984,3155.88,experiment,7%,control
2025-07-01 03:23:54,user_4074,2981.71,experiment,7%,control
2025-07-01 03:24:08,user_1184,2104.37,experiment,5%,test
2025-07-01 03:27:30,user_513,3719.88,experiment,7%,control
2025-07-01 03:27:34,user_5011,2475.44,experiment,7%,control
2025-07-01 03:28:44,user_1832,956.09,experiment,7%,test
2025-07-01 03:29:14,user_5524,6424.57,experiment,7%,test
2025-07-01 03:32:09,user_1922,6696.42,experiment,7%,test
2025-07-01 03:34:24,user_741,2882.31,experiment,7%,test
2025-07-01 03:34:27,user_5463,1166.17,experiment,7%,test
2025-07-01 03:38:23,user_1666,3749.87,experiment,7%,control
2025-07-01 03:40:08,user_476,1577.78,experiment,7%,control
2025-07-01 03:41:11,user_3811,4489.17,experiment,7%,test
2025-07-01 03:42:23,user_4349,1332.56,experiment,0%,control
2025-07-01 03:43:08,user_5799,2753.35,experiment,7%,control
2025-07-01 03:43:20,user_1688,1174.68,experiment,7%,control
2025-07-01 03:44:10,user_4296,3801.66,experiment,7%,control
2025-07-01 03:45:36,user_5368,4435.69,experiment,7%,control
2025-07-01 03:51:28,user_5064,3831.81,experiment,7%,test
2025-07-01 03:51:42,user_5607,2646.87,experiment,5%,control
2025-07-01 03:52:06,user_5774,1870.77,experiment,7%,test
2025-07-01 03:52:40,user_796,2083.28,experiment,5%,control
2025-07-01 03:53:53,user_2264,3215.87,experiment,5%,test
2025-07-01 03:55:31,user_4652,2899.66,experiment,3%,test
2025-07-01 03:57:04,user_2817,1976.22,experiment,5%,control
2025-07-01 03:58:08,user_3518,10668.0,experiment,7%,test
2025-07-01 03:58:45,user_5609,3192.95,experiment,7%,control
2025-07-01 04:00:15,user_3140,2671.65,experiment,7%,test
2025-07-01 04:01:16,user_5015,4832.13,experiment,0%,test
2025-07-01 04:01:48,user_932,2116.85,experiment,0%,control
2025-07-01 04:02:34,user_5203,2326.69,experiment,7%,test
2025-07-01 04:02:59,user_2515,2435.18,experiment,5%,control
2025-07-01 04:03:34,user_2044,5499.44,experiment,7%,control
2025-07-01 04:05:26,user_1750,2997.77,experiment,0%,control
2025-07-01 04:07:51,user_5140,1310.21,experiment,7%,test
2025-07-01 04:07:55,user_4760,3407.89,experiment,5%,test
2025-07-01 04:10:56,user_5257,3015.62,experiment,5%,test
2025-07-01 04:12:06,user_1381,1224.65,experiment,7%,control
2025-07-01 04:15:44,user_420,1967.1,experiment,3%,test
2025-07-01 04:16:46,user_5884,1762.98,experiment,7%,control
2025-07-01 04:16:48,user_4786,6422.73,experiment,5%,control
2025-07-01 04:17:54,user_122,2573.95,experiment,3%,test
2025-07-01 04:18:11,user_1353,3748.58,experiment,3%,test
2025-07-01 04:18:40,user_5647,2500.07,experiment,3%,control
2025-07-01 04:21:02,user_3739,2787.73,experiment,3%,control
2025-07-01 04:21:24,user_3286,,experiment,5%,control
2025-07-01 04:22:14,user_4602,1212.11,experiment,7%,control
2025-07-01 04:22:25,user_4409,2505.13,experiment,7%,test
2025-07-01 04:22:57,user_5606,1939.63,experiment,7%,control
2025-07-01 04:24:24,user_5245,2052.01,experiment,5%,control
2025-07-01 04:25:18,user_739,1115.79,experiment,7%,test
2025-07-01 04:26:10,user_775,1034.19,experiment,5%,control
2025-07-01 04:26:49,user_1802,2772.03,experiment,7%,control
2025-07-01 04:28:48,user_5343,2622.38,experiment,7%,test
2025-07-01 04:31:48,user_3388,6755.26,experiment,5%,control
2025-07-01 04:36:06,user_809,3172.27,experiment,3%,control
2025-07-01 04:36:26,user_1896,1665.56,experiment,5%,control
2025-07-01 04:39:46,user_3444,5694.43,experiment,7%,test
2025-07-01 04:39:52,user_2656,1784.52,experiment,7%,control
2025-07-01 04:39:53,user_1611,1465.03,experiment,7%,control
2025-07-01 04:41:59,user_142,3625.76,experiment,7%,control
2025-07-01 04:43:58,user_5223,2059.14,experiment,0%,test
2025-07-01 04:49:56,user_5486,3865.77,experiment,7%,test
2025-07-01 04:50:17,user_5801,1952.23,experiment,5%,control
2025-07-01 04:51:50,user_850,821.43,experiment,3%,test
2025-07-01 04:53:38,user_3003,7756.32,experiment,0%,test
2025-07-01 04:53:38,user_4668,3458.2,experiment,0%,test
2025-07-01 04:53:49,user_4400,1965.4,experiment,3%,control
2025-07-01 04:54:38,user_5208,1192.76,experiment,3%,control
2025-07-01 05:01:03,user_3941,2228.29,experiment,0%,test
2025-07-01 05:01:18,user_2551,8259.65,experiment,7%,test
2025-07-01 05:02:20,user_5776,2879.27,experiment,7%,test
2025-07-01 05:04:04,user_4964,1610.55,experiment,7%,control
2025-07-01 05:07:19,user_5926,3161.4,experiment,3%,control
2025-07-01 05:07:31,user_5551,1881.15,experiment,7%,control
2025-07-01 05:14:52,user_5560,3376.41,experiment,5%,test
2025-07-01 05:16:41,user_1418,5569.11,experiment,5%,control
2025-07-01 05:20:37,user_5536,4107.42,experiment,0%,test
2025-07-01 05:21:39,user_4125,1487.12,experiment,7%,test
2025-07-01 05:23:20,user_5190,6640.07,experiment,5%,control
2025-07-01 05:24:15,user_5914,10793.22,experiment,7%,test
2025-07-01 05:28:15,user_403,1614.3,experiment,7%,test
2025-07-01 05:29:12,user_3229,1016.29,experiment,7%,test
2025-07-01 05:29:21,user_1484,2372.31,experiment,7%,control
2025-07-01 05:30:36,user_3957,1114.08,experiment,7%,control
2025-07-01 05:33:36,user_24,3784.35,experiment,7%,control
2025-07-01 05:36:48,user_3488,2661.5,experiment,3%,test
2025-07-01 05:39:18,user_5090,3391.36,experiment,7%,control
2025-07-01 05:40:39,user_2172,4351.35,experiment,3%,test
2025-07-01 05:41:05,user_1391,3735.15,experiment,7%,test
2025-07-01 05:43:29,user_5131,4293.69,experiment,7%,control
2025-07-01 05:45:41,user_2089,4091.08,experiment,3%,control
2025-07-01 05:46:01,user_4469,2486.62,experiment,5%,control
2025-07-01 05:47:30,user_1818,3436.2,experiment,7%,control
2025-07-01 05:47:41,user_5834,6306.93,experiment,7%,test
2025-07-01 05:50:57,user_2334,3278.4,experiment,3%,control
2025-07-01 05:51:06,user_1839,1902.59,experiment,7%,test
2025-07-01 05:51:44,user_2610,1504.95,experiment,3%,test
2025-07-01 05:53:36,user_4677,1911.8,experiment,3%,control
2025-07-01 05:54:38,user_4419,5574.03,experiment,7%,control
2025-07-01 05:54:47,user_2031,3123.92,experiment,5%,test
2025-07-01 05:55:43,user_2302,3212.18,experiment,7%,test
2025-07-01 05:59:33,user_129,2743.6,experiment,7%,test
2025-07-01 06:00:27,user_3648,3440.32,experiment,7%,control
2025-07-01 06:01:11,user_2292,1997.6,experiment,0%,test
2025-07-01 06:05:06,user_335,4233.33,experiment,7%,test
2025-07-01 06:06:56,user_2790,2800.47,experiment,3%,test
2025-07-01 06:07:19,user_4763,2077.3,experiment,5%,control
2025-07-01 06:08:10,user_2754,4324.14,experiment,3%,test
2025-07-01 06:09:27,user_4104,1907.4,experiment,3%,test
2025-07-01 06:12:07,user_2648,1421.38,experiment,7%,test
2025-07-01 06:12:37,user_4889,3424.89,experiment,7%,control
2025-07-01 06:12:55,user_5588,1160.11,experiment,7%,test
2025-07-01 06:13:42,user_3997,5034.4,experiment,7%,test
2025-07-01 06:17:38,user_2580,9417.69,experiment,7%,control
2025-07-01 06:29:18,user_199,4683.43,experiment,7%,test
2025-07-01 06:35:56,user_4458,2631.52,experiment,0%,test
2025-07-01 06:36:51,user_4397,5740.94,experiment,3%,control
2025-07-01 06:38:21,user_5777,1470.75,experiment,7%,test
2025-07-01 06:39:21,user_58,4758.83,experiment,7%,control
2025-07-01 06:42:09,user_3203,6774.83,experiment,7%,test
2025-07-01 06:42:28,user_3130,17046.57,experiment,3%,control
2025-07-01 06:43:34,user_406,4578.69,experiment,7%,test
2025-07-01 06:45:13,user_3235,2261.11,experiment,5%,control
2025-07-01 06:45:44,user_3547,5745.76,experiment,0%,control
2025-07-01 06:46:19,user_3098,5672.69,experiment,7%,control
2025-07-01 06:48:43,user_4685,2596.21,experiment,7%,control
2025-07-01 06:50:02,user_1807,2821.52,experiment,7%,control
2025-07-01 06:52:45,user_2616,2824.54,experiment,0%,control
2025-07-01 06:53:02,user_2364,584.41,experiment,5%,test
2025-07-01 06:53:13,user_813,5233.74,experiment,7%,test
2025-07-01 06:54:39,user_1392,1600.46,experiment,5%,test
2025-07-01 06:55:03,user_2757,5234.11,experiment,7%,control
2025-07-01 06:55:40,user_601,3879.76,experiment,5%,test
2025-07-01 06:55:44,user_2068,2606.99,experiment,7%,control
2025-07-01 07:01:37,user_1488,3712.1,experiment,7%,control
2025-07-01 07:01:49,user_3472,2046.17,experiment,7%,control
2025-07-01 07:06:28,user_41,2317.25,experiment,3%,test
2025-07-01 07:07:55,user_5654,1802.56,experiment,7%,test
2025-07-01 07:08:32,user_2354,3644.76,experiment,7%,test
2025-07-01 07:09:56,user_5274,2662.53,experiment,5%,test
2025-07-01 07:10:34,user_2182,5623.43,experiment,7%,test
2025-07-01 07:15:12,user_2294,2316.55,experiment,7%,control
2025-07-01 07:21:25,user_2806,2706.23,experiment,5%,control
2025-07-01 07:22:59,user_4506,7611.85,experiment,0%,control
2025-07-01 07:23:34,user_5636,7792.37,experiment,0%,test
2025-07-01 07:26:45,user_3814,2016.88,experiment,7%,control
2025-07-01 07:27:01,user_3037,3135.74,experiment,7%,test
2025-07-01 07:30:28,user_2806,2890.61,experiment,5%,control
2025-07-01 07:32:51,user_4102,2175.36,experiment,5%,test
2025-07-01 07:33:15,user_957,2108.13,experiment,7%,control
2025-07-01 07:34:32,user_1455,3451.32,experiment,7%,test
2025-07-01 07:36:49,user_4665,1607.44,experiment,5%,control
2025-07-01 07:39:39,user_3257,2647.92,experiment,5%,control
2025-07-01 07:39:41,user_4119,5373.19,experiment,0%,test
2025-07-01 07:40:40,user_5858,2072.47,experiment,7%,control
2025-07-01 07:41:21,user_5939,1504.49,experiment,3%,test
2025-07-01 07:42:00,user_1464,4944.58,experiment,7%,test
2025-07-01 07:42:01,user_3162,1942.16,experiment,3%,test
2025-07-01 07:47:39,user_2778,5484.06,experiment,5%,control
2025-07-01 07:48:58,user_4345,2433.4,experiment,5%,test
2025-07-01 07:50:06,user_4658,2368.12,experiment,5%,test
2025-07-01 07:50:39,user_4034,1398.07,experiment,5%,test
2025-07-01 07:51:21,user_3559,1591.08,experiment,7%,control
2025-07-01 07:57:05,user_1298,1902.64,experiment,0%,test
2025-07-01 07:57:50,user_1502,2979.76,experiment,7%,test
2025-07-01 08:00:20,user_4452,4272.91,experiment,5%,control
2025-07-01 08:01:01,user_4686,2144.55,experiment,0%,control
2025-07-01 08:02:48,user_2519,2681.51,experiment,7%,control
2025-07-01 08:03:50,user_2245,5936.31,experiment,3%,test
2025-07-01 08:07:36,user_342,3102.28,experiment,0%,test
2025-07-01 08:08:45,user_49,5254.75,experiment,0%,control
2025-07-01 08:18:25,user_2854,1583.29,experiment,5%,test
2025-07-01 08:19:47,user_813,3758.66,experiment,7%,test
2025-07-01 08:20:27,user_5218,1090.93,experiment,7%,test
2025-07-01 08:20:30,user_5707,3392.25,experiment,7%,control
2025-07-01 08:20:48,user_3870,4284.02,experiment,5%,test
2025-07-01 08:21:03,user_4251,2692.1,experiment,0%,control
2025-07-01 08:21:53,user_886,3055.29,experiment,7%,test
2025-07-01 08:22:33,user_2695,2411.38,experiment,3%,test
2025-07-01 08:22:53,user_765,8719.76,experiment,5%,control
2025-07-01 08:23:07,user_2960,1907.13,experiment,5%,test
2025-07-01 08:23:13,user_2753,1237.6,experiment,0%,test
2025-07-01 08:25:31,user_1084,3115.88,experiment,3%,control
2025-07-01 08:26:14,user_2819,2554.46,experiment,7%,control
2025-07-01 08:29:21,user_2383,3484.81,experiment,7%,control
2025-07-01 08:30:12,user_19,1612.32,experiment,3%,control
2025-07-01 08:31:48,user_4468,4524.96,experiment,7%,test
2025-07-01 08:33:40,user_4940,1855.13,experiment,7%,test
2025-07-01 08:38:52,user_4555,3973.74,experiment,3%,test
2025-07-01 08:39:10,user_2304,4060.77,experiment,5%,test
2025-07-01 08:39:15,user_1597,3672.54,experiment,0%,control
2025-07-01 08:40:13,user_4810,4969.41,experiment,0%,test
2025-07-01 08:44:47,user_5150,1618.58,experiment,7%,test
2025-07-01 08:45:46,user_1242,4264.55,experiment,0%,control
2025-07-01 08:47:09,user_2365,2076.4,experiment,5%,test
2025-07-01 08:47:49,user_4832,1884.27,experiment,7%,test
2025-07-01 08:55:47,user_4303,7494.65,experiment,0%,control
2025-07-01 08:55:53,user_5500,3743.07,experiment,3%,test
2025-07-01 08:57:04,user_3065,1655.44,experiment,3%,test
2025-07-01 08:57:11,user_5323,3855.0,experiment,7%,control
2025-07-01 08:58:43,user_676,4687.75,experiment,0%,test
2025-07-01 08:59:13,user_4702,1841.23,experiment,7%,control
2025-07-01 09:00:31,user_4123,4438.67,experiment,7%,control
2025-07-01 09:00:44,user_4377,2384.22,experiment,7%,control
2025-07-01 09:01:43,user_1619,5347.63,experiment,7%,test
2025-07-01 09:03:17,user_1099,5647.38,experiment,0%,test
2025-07-01 09:03:59,user_2664,3271.61,experiment,3%,control
2025-07-01 09:04:26,user_2798,2053.64,experiment,3%,test
2025-07-01 09:05:14,user_1234,4007.59,experiment,0%,control
2025-07-01 09:05:21,user_680,4210.53,experiment,7%,test
2025-07-01 09:06:17,user_3028,2792.43,experiment,0%,control
2025-07-01 09:09:08,user_188,3175.39,experiment,3%,test
2025-07-01 09:10:41,user_4081,1719.88,experiment,3%,test
2025-07-01 09:11:28,user_4494,2616.33,experiment,5%,control
2025-07-01 09:18:13,user_1148,1657.94,experiment,7%,control
2025-07-01 09:20:50,user_5016,2443.88,experiment,5%,control
2025-07-01 09:20:53,user_5350,2934.38,experiment,5%,control
2025-07-01 09:21:32,user_809,743.62,experiment,3%,control
2025-07-01 09:22:47,user_3611,2929.9,experiment,3%,control
2025-07-01 09:23:35,user_4855,3119.9,experiment,7%,test
2025-07-01 09:23:50,user_345,2658.31,experiment,7%,test
2025-07-01 09:24:35,user_3371,4333.44,experiment,7%,control
2025-07-01 09:27:12,user_5163,2160.49,experiment,7%,test
2025-07-01 09:27:49,user_3605,5793.08,experiment,7%,control
2025-07-01 09:28:58,user_5559,4362.12,experiment,3%,control
2025-07-01 09:35:39,user_5576,2736.98,experiment,7%,test
2025-07-01 09:38:48,user_2341,3533.41,experiment,0%,test
2025-07-01 09:39:38,user_1087,3691.3,experiment,7%,test
2025-07-01 09:40:09,user_4507,2362.17,experiment,7%,test
2025-07-01 09:41:38,user_126,2070.32,experiment,5%,test
2025-07-01 09:42:16,user_4271,2838.55,experiment,0%,test
2025-07-01 09:44:30,user_1646,2792.79,experiment,5%,test
2025-07-01 09:45:02,user_3624,4683.87,experiment,7%,test
2025-07-01 09:45:09,user_2325,1040.27,experiment,5%,test
2025-07-01 09:47:28,user_4240,5481.27,experiment,7%,control
2025-07-01 09:48:18,user_3979,2487.88,experiment,7%,test
2025-07-01 09:48:59,user_2445,1843.66,experiment,0%,control
2025-07-01 09:50:27,user_646,3269.8,experiment,0%,test
2025-07-01 09:50:41,user_3725,1425.57,experiment,7%,test
2025-07-01 09:51:02,user_5948,1580.82,experiment,5%,test
2025-07-01 09:53:54,user_1883,2508.98,experiment,0%,control
2025-07-01 09:54:42,user_861,4272.75,experiment,3%,control
2025-07-01 09:57:59,user_1812,3467.27,experiment,7%,control
2025-07-01 09:59:45,user_820,2677.43,experiment,3%,test
2025-07-01 10:00:17,user_3643,3531.24,experiment,0%,test
2025-07-01 10:01:41,user_5182,2490.2,experiment,7%,test
2025-07-01 10:04:33,user_1426,4619.0,experiment,7%,test
2025-07-01 10:05:08,user_173,3097.61,experiment,5%,test
2025-07-01 10:06:44,user_5903,3938.78,experiment,0%,control
2025-07-01 10:07:05,user_237,5668.06,experiment,5%,control
2025-07-01 10:07:50,user_385,3965.04,experiment,5%,test
2025-07-01 10:09:19,user_4793,2850.62,experiment,7%,control
2025-07-01 10:13:05,user_2098,2045.56,experiment,5%,control
2025-07-01 10:17:46,user_488,6507.37,experiment,3%,control
2025-07-01 10:18:40,user_1412,5606.53,experiment,5%,test
2025-07-01 10:19:25,user_4964,1527.61,experiment,7%,control
2025-07-01 10:24:18,user_2042,2930.12,experiment,7%,control
2025-07-01 10:24:35,user_1412,3138.0,experiment,5%,test
2025-07-01 10:26:30,user_4358,6173.82,experiment,5%,control
2025-07-01 10:26:32,user_3506,1361.84,experiment,5%,test
2025-07-01 10:27:12,user_1770,3701.68,experiment,3%,control
2025-07-01 10:27:46,user_3091,2937.24,experiment,0%,test
2025-07-01 10:28:00,user_2393,2795.27,experiment,7%,control
2025-07-01 10:28:39,user_4022,4300.38,experiment,0%,control
2025-07-01 10:32:10,user_3629,4738.4,experiment,3%,control
2025-07-01 10:34:05,user_4452,3349.56,experiment,5%,control
2025-07-01 10:34:38,user_5177,3464.64,experiment,7%,control
2025-07-01 10:38:08,user_4351,2576.97,experiment,0%,test
2025-07-01 10:38:48,user_4178,1911.42,experiment,0%,test
2025-07-01 10:43:22,user_604,2814.71,experiment,7%,test
2025-07-01 10:43:25,user_874,6844.52,experiment,0%,control
2025-07-01 10:45:08,user_5577,2961.22,experiment,5%,test
2025-07-01 10:47:57,user_2415,4797.38,experiment,0%,test
2025-07-01 10:51:28,user_5701,4038.46,experiment,3%,test
2025-07-01 10:52:26,user_5038,1738.64,experiment,5%,control
2025-07-01 10:53:11,user_4157,2579.67,experiment,5%,control
2025-07-01 10:53:25,user_5527,3095.05,experiment,5%,control
2025-07-01 10:53:27,user_1391,2096.5,experiment,7%,test
2025-07-01 10:54:54,user_5934,4556.94,experiment,7%,control
2025-07-01 10:56:57,user_366,958.71,experiment,0%,control
2025-07-01 11:01:14,user_81,3450.88,experiment,3%,test
2025-07-01 11:05:40,user_4819,1342.05,experiment,3%,test
2025-07-01 11:07:31,user_5104,3444.81,experiment,7%,test
2025-07-01 11:08:51,user_1379,2391.48,experiment,0%,test
2025-07-01 11:13:54,user_3131,1786.54,experiment,7%,control
2025-07-01 11:14:17,user_843,5530.6,experiment,7%,test
2025-07-01 11:16:43,user_5265,5511.34,experiment,7%,control
2025-07-01 11:19:24,user_1025,4211.79,experiment,5%,test
2025-07-01 11:21:59,user_5676,3509.81,experiment,5%,test
2025-07-01 11:22:07,user_180,2581.43,experiment,0%,test
2025-07-01 11:22:33,user_3003,3559.56,experiment,0%,test
2025-07-01 11:24:37,user_1456,2502.18,experiment,7%,control
2025-07-01 11:25:25,user_3624,2583.23,experiment,7%,test
2025-07-01 11:28:35,user_5851,1295.68,experiment,7%,test
2025-07-01 11:29:00,user_4125,3162.63,experiment,7%,test
2025-07-01 11:31:17,user_5811,5822.47,experiment,7%,control
2025-07-01 11:32:02,user_5636,1960.42,experiment,0%,test
2025-07-01 11:32:44,user_4582,2475.56,experiment,5%,control
2025-07-01 11:34:06,user_6,2546.53,experiment,7%,control
2025-07-01 11:36:18,user_4157,3565.81,experiment,5%,control
2025-07-01 11:36:28,user_1564,3181.91,experiment,7%,control
2025-07-01 11:36:59,user_1886,3568.85,experiment,7%,control
2025-07-01 11:37:59,user_762,3763.05,experiment,3%,control
2025-07-01 11:42:34,user_208,7443.11,experiment,7%,control
2025-07-01 11:45:30,user_3275,2474.25,experiment,7%,test
2025-07-01 11:45:33,user_4570,4136.31,experiment,5%,control
2025-07-01 11:48:42,user_5710,5463.56,experiment,0%,test
2025-07-01 11:50:11,user_5114,2622.04,experiment,7%,test
2025-07-01 11:52:25,user_4739,2520.78,experiment,5%,test
2025-07-01 11:56:24,user_2576,1563.97,experiment,7%,test
2025-07-01 11:56:35,user_2785,6810.36,experiment,5%,test
2025-07-01 11:56:54,user_5536,5553.13,experiment,0%,test
2025-07-01 11:56:55,user_1868,2025.16,experiment,3%,control
2025-07-01 11:58:20,user_234,2931.4,experiment,7%,test
2025-07-01 11:59:58,user_5592,3730.81,experiment,7%,control
2025-07-01 12:00:08,user_4177,1567.3,experiment,7%,test
2025-07-01 12:03:01,user_2276,3529.67,experiment,7%,test
2025-07-01 12:05:51,user_2926,2727.43,experiment,3%,control
2025-07-01 12:07:09,user_5266,4265.13,experiment,0%,control
2025-07-01 12:08:38,user_5094,5482.37,experiment,7%,control
2025-07-01 12:09:22,user_1098,1699.66,experiment,5%,test
2025-07-01 12:10:23,user_2675,3713.36,experiment,7%,test
2025-07-01 12:10:47,user_2811,2191.07,experiment,7%,control
2025-07-01 12:11:38,user_1874,4817.33,experiment,7%,control
2025-07-01 12:13:08,user_1105,2480.05,experiment,5%,test
2025-07-01 12:15:25,user_5516,2404.32,experiment,5%,control
2025-07-01 12:16:37,user_640,3321.38,experiment,0%,test
2025-07-01 12:17:16,user_5450,2392.11,experiment,5%,test
2025-07-01 12:17:54,user_1783,4524.86,experiment,3%,test
2025-07-01 12:19:26,user_395,3103.45,experiment,7%,control
